Address,found_address,coordinates,District
"улица маргаряна, ереван","Armenia, Yerevan, Margaryan Street","40.205082,44.475769",Աջափնյակ
"մոնթե մելքոնյան պողոտա, երևան","Armenia, Yerevan, Monte Melkonyan Street","40.178255,44.480521",Մալաթիա-Սեբաստիա
"կոմիտասի պողոտա 12, երևան","Armenia, Yerevan, Komitas Avenue, 12","40.201245,44.49573",Արաբկիր
"լեոնիդ ազգալդյան փողոց, երևան","Armenia, Yerevan, Leonid Azgaldyan Street","40.196478,44.509789",Կենտրոն
"մոնթե մելքոնյան փողոց 52/1, երևան","Armenia, Yerevan, Monte Melkonyan Street, 52/1","40.186827,44.47691",Մալաթիա-Սեբաստիա
"հանրապետության փողոցի 2-րդ նրբանցք 17, երևան","Armenia, Yerevan, Hanrapetutyan Street 2nd Lane, 17","40.179268,44.519374",Կենտրոն
"մոնթե մելքոնյան փողոց , երևան","Armenia, Yerevan, Monte Melkonyan Street","40.178255,44.480521",Մալաթիա-Սեբաստիա
"մանանդյան փողոց 9a, երևան","Armenia, Yerevan, Manandyan Street, 9A","40.153321,44.48725",Շենգավիթ
"մարգարյան փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Margaryan Street 2nd Lane","40.207238,44.471098",Աջափնյակ
"բաղրամյան պողոտա 2, երևան","Armenia, Yerevan, Baghramyan Avenue, 2","40.188914,44.514109",Կենտրոն
"ալեք մանուկյան փողոց, երևան","Armenia, Yerevan, Alek Manukyan Street","40.177828,44.524386",Կենտրոն
"մուրացանի փողոց, երևան","Armenia, Yerevan, Muratsan Street","40.146152,44.515879",Էրեբունի
"մարշալ բաղրամյան պողոտա 45, երևան","Armenia, Yerevan, Baghramyan Avenue, 45","40.192242,44.500015",Արաբկիր
"ազատամարտիկների պողոտա 80, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Azatamartikner Avenue, 80","40.145518,44.521557",Էրեբունի
"րաֆֆու փողոց 31, երևան","Armenia, Yerevan, Raffi Street, 31","40.173832,44.449278",Մալաթիա-Սեբաստիա
"կոմիտասի պողոտա 36, երևան","Armenia, Yerevan, Komitas Avenue, 36","40.205109,44.505117",Արաբկիր
"շոպրոն փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Shopron Street 2nd Lane","40.186668,44.560921",Նոր Նորք
"ավան-առինջ 2-րդ միկրոշրջան 1/18, երևան","Armenia, Yerevan, The Administrative District of Avan, Avan-Arinj 2nd microdistrict, 1/18","40.225039,44.573587",Ավան
"առնո բաբաջանյան փողոց 113, երևան","Armenia, Yerevan, Arno Babajanyan Street, 113","40.163632,44.441813",Մալաթիա-Սեբաստիա
"տերյան փողոց 3, երևան","Armenia, Yerevan, Teryan Street, 3","40.181563,44.512699",Կենտրոն
"սիսակյան փողոց 16, երևան","Armenia, Yerevan, Sisakyan Street, 16","40.194267,44.469113",Աջափնյակ
"վերին անտառային փողոց 135, երևան","Armenia, Yerevan, Verin Antarayin Street, 135","40.196692,44.512142",Կենտրոն
"բրյուսովի փողոց 164, երևան","Armenia, Yerevan, Bryusov Street, 165","40.16641,44.502467",Կենտրոն
"հրաչյա քոչարի փողոց 12, երևան","Armenia, Yerevan, Hrachya Kochar Street, 12","40.199351,44.497491",Արաբկիր
"արգիշտիի փողոց , երևան","Armenia, Yerevan, Argishti Street","40.174031,44.503159",Կենտրոն
"մոլդովական փողոց 29/6, երևան","Armenia, Yerevan, Moldovakan Street, 29/6","40.206631,44.571108",Նոր Նորք
"david-bek street, երևան","Armenia, Yerevan, David-Bek Street","40.165838,44.542667",Նորք-Մարաշ
"գրիգոր հասրաթյան փողոց, երևան","Armenia, Yerevan, Grigor Hasratyan Street","40.195562,44.462591",Աջափնյակ
"ծարավ աղբյուրի փողոց 59, երևան","Armenia, Yerevan, Tsarav Akhpyur Street, 59","40.216025,44.551228",Ավան
"լուսինե զաքարյան փողոց, երևան","Armenia, Yerevan, Lusine Zakaryan Street","40.178931,44.541894",Նորք-Մարաշ
"komitas ave 38/3, yerevan","Armenia, Yerevan, Komitas Avenue, 38/3","40.20586,44.506968",Արաբկիր
"մանանդյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"չարենցի փողոց 25, երևան","Armenia, Yerevan, Charents Street, 25","40.180784,44.528177",Կենտրոն
"եղբայրության փողոց, երևան","Armenia, Yerevan, Yeghbayrutyan Street","40.152397,44.48345",Շենգավիթ
"antarayin street, yerevan","Armenia, Yerevan, Antarayin Street","40.192076,44.514837",Կենտրոն
"աջափնյակ վարչական շրջան, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak","40.200439,44.461845",Աջափնյակ
"նալբանդյան փողոց 25/14, երևան","Armenia, Yerevan, Nalbandyan Street, 25/14","40.181956,44.520326",Կենտրոն
"դավթաշենի 2-րդ փողոց, երևան","Armenia, Yerevan, Paris Herouni Street","40.215936,44.482677",Դավթաշեն
"կուրղինյան փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"սերո խանզադյանի փողոց 1-ին նրբանցք, երևան","Armenia, Yerevan, Norq Street, 1st Lane","40.190947,44.541625",Նորք-Մարաշ
"զավարյան փողոց 8, երևան","Armenia, Yerevan, Zavaryan Street, 8","40.166196,44.512322",Կենտրոն
"արցախ թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Artsakh district","40.141209,44.513472",Էրեբունի
"կոմիտասի պողոտա 37, երևան","Armenia, Yerevan, Komitas Avenue, 37","40.207244,44.510166",Արաբկիր
"սարյան փողոց 20/1, երևան","Armenia, Yerevan, Saryan Street, 20/1","40.185545,44.505953",Կենտրոն
"կորյուն փողոցի 1-ին անցուղի, երևան","Armenia, Yerevan, Koryun Street 1st Lane","40.186158,44.524503",Կենտրոն
"հրաչյա աճառյան փողոցի 2-րդ փակուղի, երևան","Armenia, Yerevan, High Park Yerevan Residential Complex","40.222216,44.551443",Ավան
"սեբաստիայի փողոց 122, երևան","Armenia, Yerevan, Sebastia Street, 122","40.166644,44.457174",Մալաթիա-Սեբաստիա
"նելսոն ստեփանյան փողոց 16/1, երևան","Armenia, Yerevan, Nelson Stepanyan Street, 16/1","40.200171,44.57338",Նոր Նորք
"արամ խաչատրյան փողոց 3, երևան","Armenia, Yerevan, Aram Khachatryan Street, 3","40.203208,44.491867",Արաբկիր
"լենինգրադյան փողոց 19/9, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 19/9","40.19054,44.468574",Մալաթիա-Սեբաստիա
"իսահակյան փողոց, երևան","Armenia, Yerevan, Isahakyan Street","40.188205,44.520137",Կենտրոն
"լենինգրադյան փողոց 29/17, yerevan","Armenia, Yerevan, Kirk Kerkorian Street, 29/17","40.187908,44.469787",Մալաթիա-Սեբաստիա
"սվետլանա գրիգորյան փողոց, երևան","Armenia, Yerevan, Svetlana Grigoryan Street","40.200928,44.514074",Արաբկիր
"բագրևանդի փողոց 4/3, երևան","Armenia, Yerevan, Bagrevand Street, 4/3","40.206521,44.574925",Նոր Նորք
"եզնիկ կողբացու փողոց 83, երևան","Armenia, Yerevan, Yeznik Koghbatsi Street, 83","40.184284,44.513813",Կենտրոն
"ֆուչիկի փողոց, 1-ին նրբանցք, երևան","Armenia, Yerevan, Fuchik Street 1st Lane","40.200253,44.474925",Աջափնյակ
"մելիք մելիքյան փողոց 2/2, երևան","Armenia, Yerevan, Meliq Meliqyan Street, 2","40.227821,44.546655",Քանաքեռ-Զեյթուն
"վերին անտառային փողոց 186/11, երևան","Armenia, Yerevan, Verin Antarayin Street, 186/11","40.196843,44.50872",Կենտրոն
"հայրիկ մուրադյան փողոց, երևան","Armenia, Yerevan, Hayrik Muradyan Street","40.203704,44.513049",Արաբկիր
"komitas avenu, երևան","Armenia, Yerevan, Komitas Avenue","40.206239,44.50721",Արաբկիր
"hrachya qochar street, երևան","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"ալեքսանդր մյասնիկյան պողոտա, երևան","Armenia, Yerevan, Myasnikyan Avenue","40.196809,44.548533",Կենտրոն
"ավանեսովի փողոց, 3-րդ նրբանցք, երևան","Armenia, Yerevan, Avanesov Street 3rd Lane","40.129991,44.526866",Էրեբունի
"գայի պողոտա 3, երևան","Armenia, Yerevan, Gai Avenue, 3","40.203477,44.565556",Նոր Նորք
"դավթաշեն 1-ին թաղամաս 7, երևան","Armenia, Yerevan, The Administrative District of Davtashen, Davtashen 1st Block, 7","40.218594,44.487591",Դավթաշեն
"լենինգրադյան փողոց 29/17, երևան","Armenia, Yerevan, Kirk Kerkorian Street, 29/17","40.187908,44.469787",Մալաթիա-Սեբաստիա
"gayi avenue 1, yerevan","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"մամիկոնյանց փողոց 23, երևան","Armenia, Yerevan, Mamikonyants Street, 23","40.208877,44.521808",Արաբկիր
"բադալ մուրադյանի փողոց 3, երևան","Armenia, Yerevan, Badal Muradyan Street, 3","40.186324,44.56437",Նոր Նորք
"բադալ մուրադյանի փողոց 10, երևան","Armenia, Yerevan, Badal Muradyan Street, 10","40.186434,44.562672",Նոր Նորք
"ավանեսովի փողոց 8, երևան","Armenia, Yerevan, Avanesov Street, 8","40.131508,44.528186",Էրեբունի
"լյուքսեմբուրգ փողոցի 2-րդ նրբանցք, երևան","Armenia, Yerevan, Lyuksemburg Street 2nd Lane","40.189507,44.562187",Նոր Նորք
"աղբյուր սերոբի փողոց 52/6, երևան","Armenia, Yerevan, Aghbyur Serob Street, 52/6","40.198207,44.508684",Կենտրոն
"աճառյան փողոց 18m, երևան","Armenia, Yerevan, Acharyan Street, 18M","40.217003,44.56446",Ավան
"griboyedov street, yerevan","Armenia, Yerevan, Griboyedov Street","40.209627,44.514083",Արաբկիր
"աշոտ հովհաննիսյանի փողոց 10, երևան","Armenia, Yerevan, Ashot Hovhannisyan Street, 10","40.192621,44.571781",Նոր Նորք
"վարուժան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Varujan District","40.215371,44.576776",Ավան
"հրաչյա քոչարի փողոց 23, երևան","Armenia, Yerevan, Hrachya Kochar Street, 23","40.201844,44.502261",Արաբկիր
"գարեգին նժդեհ փողոց, երևան","Armenia, Yerevan, Garegin Nzhdeh Street","40.152046,44.497006",Շենգավիթ
"կարապետ ուլնեցու 2-րդ փակուղի, երևան","Armenia, Yerevan, Karapet Ulnetsu Street 2nd Deadlock","40.208773,44.539038",Քանաքեռ-Զեյթուն
"մանթաշյան փողոց, երևան","Armenia, Yerevan, Mantashyan Street","40.152122,44.486864",Շենգավիթ
"arshakuniats avenue, երևան","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"շիրակի փողոցի 4-րդ նրբանցք 7, երևան","Armenia, Yerevan, Shirak Street 4th Lane, 7","40.146972,44.456384",Շենգավիթ
"գյուլիքեխվյան փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"ճառագայթային փողոց, երևան","Armenia, Yerevan, Charagaytain Street","40.167188,44.446278",Մալաթիա-Սեբաստիա
"պարոնյան փողոց 42, երևան","Armenia, Yerevan, Paronyan Street, 42","40.184774,44.502647",Կենտրոն
"կասյան փողոց, երևան","Armenia, Yerevan, Vazgen the First Vehapar Street","40.19973,44.493879",Արաբկիր
"տարոնցի փողոց, երևան","Armenia, Yerevan, Soghomon Taronts Street","40.145917,44.485166",Շենգավիթ
"անաստաս միկոյան փողոց 4, երևան","Armenia, Yerevan, Anastas Mikoyan Street, 4","40.210661,44.486163",Աջափնյակ
"գալշոյան փողոց 1, երևան","Armenia, Yerevan, Galshoyan Street, 1","40.183527,44.572087",Նոր Նորք
"բնակելի համալիր բյուրեղ, երևան","Armenia, Yerevan, The Administrative District of Kentron, Byuregh Residential Complex","40.167085,44.504273",Կենտրոն
"կարախանյան փողոց, երևան","Armenia, Yerevan, Karakhanyan Street","40.177243,44.563957",Նոր Նորք
"կոմիտասի պողոտա 32, երևան","Armenia, Yerevan, Komitas Avenue, 32","40.204262,44.503015",Արաբկիր
"կոմիտասի պողոտա 43/1, երևան","Armenia, Yerevan, Komitas Avenue, 43/1","40.207134,44.513049",Արաբկիր
"դուրյան փողոց, երևան","Armenia, Yerevan, Duryan Street","40.184904,44.544392",Նորք-Մարաշ
"մինաս ավետիսյանի 2-րդ փողոց 15, երևան","Armenia, Yerevan, Minas Avetisyan 2nd Street, 15","40.205667,44.542676",Քանաքեռ-Զեյթուն
"վերին շենգավիթի 11-րդ փողոց, երևան","Armenia, Yerevan, Verin Shengavit 11th Street","40.149371,44.489325",Շենգավիթ
"ազատամարտիկների պողոտա 78/2, երևան","Armenia, Yerevan, The Administrative District of Erebuni, Azatamartikner Avenue, 78/2","40.144821,44.521871",Էրեբունի
"շիրակի փողոցի 4-րդ նրբանցք, երևան","Armenia, Yerevan, Shirak Street 4th Lane","40.145773,44.453949",Շենգավիթ
"երվանդ քոչարի փողոց 21/1, երևան","Armenia, Yerevan, Yervand Kochar Street, 21/1","40.168133,44.517613",Կենտրոն
"ազատության պողոտա , երևան","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838",Արաբկիր
"շոպրոն փողոցի 3-րդ նրբանցք, երևան","Armenia, Yerevan, Shopron Street 3rd Lane","40.187288,44.559834",Նոր Նորք
"moldovakan street, երևան","Armenia, Yerevan, Moldovakan Street","40.19871,44.568511",Նոր Նորք
"նալբանդյան փողոց 31, երևան","Armenia, Yerevan, Nalbandyan Street, 31","40.183092,44.521161",Կենտրոն
"բյուզանդի փողոց, երևան","Armenia, Yerevan, Elen Byuzand Street","40.202423,44.519526",Արաբկիր
"հրաչյա քոչարի փողոց 10, երևան","Armenia, Yerevan, Hrachya Kochar Street, 10","40.19871,44.495937",Արաբկիր
"նաիրի զարյան փողոց 34, երևան","Armenia, Yerevan, Nairi Zaryan Street, 34","40.20429,44.511441",Արաբկիր
"ռաֆայել իսրաելյան փողոց 37, երևան","Armenia, Yerevan, Rafael Israyelyan Street, 37","40.177994,44.50147",Կենտրոն
"մամիկոնյանց փողոց 62, երևան","Armenia, Yerevan, Mamikonyants Street, 62","40.209917,44.507112",Արաբկիր
"նիկողայոս տիգրանյան փողոց , երևան","Armenia, Yerevan, Nikoghayos Tigranyan Street","40.208718,44.52047",Արաբկիր
"ադոնցի փողոց 2/5, երևան","Armenia, Yerevan, Adonts Street, 2/5","40.21252,44.526057",Արաբկիր
"մանուշյան փողոց, երևան","Armenia, Yerevan, Manushyan Street","40.206618,44.498299",Արաբկիր
"hanrapetutyan street, yerevan","Armenia, Yerevan, Hanrapetutyan Street","40.177801,44.518736",Կենտրոն
"այգեձորի փողոցի 1-ին նրբանցք 22, երևան","Armenia, Yerevan, Aygedzor Street 1st Lane, 22","40.19085,44.500114",Արաբկիր
"ֆրունզեի փողոց 16, երևան","Armenia, Yerevan, Frunze Street, 16","40.147455,44.494068",Շենգավիթ
"վիլնյուսի փողոց 30/2, երևան","Armenia, Yerevan, Vilnius Street, 30/2","40.173659,44.566526",Նոր Նորք
"գյուրջյան փողոց 17, երևան","Armenia, Yerevan, Gyurjyan Street, 17","40.191112,44.560382",Նոր Նորք
"մառի փողոց 14, երևան","Armenia, Yerevan, Mar Street, 14","40.184278,44.569562",Նոր Նորք
"արամի փողոց 74, երևան","Armenia, Yerevan, Aram Street, 74","40.183919,44.508217",Կենտրոն
"արամի փողոց 82-84, երևան","Armenia, Yerevan, Aram Street, 82-84","40.184215,44.50774",Կենտրոն
"ծովակալ իսակովի պողոտա 50/2, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 50/2","40.161061,44.432911",Մալաթիա-Սեբաստիա
"կոմիտասի պողոտա 55, երևան","Armenia, Yerevan, Komitas Avenue, 55","40.206735,44.519859",Արաբկիր
"հովհաննիսյան թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Hovannisyan District","40.217506,44.579678",Ավան
"աբովյան փողոց 26b, երևան","Armenia, Yerevan, Abovyan Street, 26B","40.183885,44.521188",Կենտրոն
"տիգրան մեծի պողոտա 36, երևան","Armenia, Yerevan, Tigran Mets Avenue, 36","40.164197,44.512663",Կենտրոն
"նար-դոս փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Nar-Dos Street 1st Lane","40.164197,44.513795",Կենտրոն
"viktor hambardzumyan street, yerevan","Armenia, Yerevan, Viktor Hambardzumyan Street","40.197236,44.500635",Արաբկիր
"շարուրի փողոց 13, երևան","Armenia, Yerevan, Sharuri Street, 13","40.141161,44.463597",Շենգավիթ
"վարդանանց փողոց 1, երևան","Armenia, Yerevan, Vardanants Street, 5","40.179206,44.517622",Կենտրոն
"շիրակի փողոց 20, երևան","Armenia, Yerevan, Shirak Street, 20","40.145345,44.461729",Շենգավիթ
"վրացական փողոց 21, երևան","Armenia, Yerevan, Vratsakan Street, 21","40.208973,44.510992",Արաբկիր
"ազատության 2-րդ նրբանցք 10, երևան","Armenia, Yerevan, 2nd Azatutyan Backstreet, 10","40.199296,44.52188",Քանաքեռ-Զեյթուն
"այգեստան 11-րդ փողոց 69, երևան","Armenia, Yerevan, Gevorg Jahukyan Street, 69","40.187585,44.528069",Կենտրոն
"հին երևանցու փողոց 2, երևան","Armenia, Yerevan, Hin Yerevantsu Street, 2","40.182638,44.515691",Կենտրոն
"թոթովենցի փողոց 10, երևան","Armenia, Yerevan, Totovents Street, 10","40.204675,44.570443",Նոր Նորք
"մոսկովյան փողոց 31, երևան","Armenia, Yerevan, Moskovyan Street, 31","40.187309,44.513508",Կենտրոն
"զաքարիա քանաքեռցու փողոց 147/1, երևան","Armenia, Yerevan, Zakaria Kanakertsi Street, 147/1","40.231106,44.551381",Քանաքեռ-Զեյթուն
"shinararneri street, yerevan","Armenia, Yerevan, Shinararner Street","40.195238,44.473892",Աջափնյակ
"այգեձորի փողոց 78/1, երևան","Armenia, Yerevan, Aygedzor Street, 78/1","40.19178,44.493179",Արաբկիր
"առնո բաբաջանյան փողոց 9, երևան","Armenia, Yerevan, Arno Babajanyan Street, 9","40.171234,44.438929",Մալաթիա-Սեբաստիա
"հյուսիսային պողոտա 10, երևան","Armenia, Yerevan, Northern Avenue, 10","40.181942,44.514118",Կենտրոն
"մելքումով փողոց, երևան","Armenia, Yerevan, Melkumov Street","40.214841,44.47126",Աջափնյակ
"շարուրի փողոց 24/2, երևան","Armenia, Yerevan, Sharuri Street, 24/2","40.141333,44.460696",Շենգավիթ
"կոմիտասի պողոտա 15, երևան","Armenia, Yerevan, Komitas Avenue, 15","40.203484,44.499404",Արաբկիր
"տիգրան պետրոսյան փողոց 1a, երևան","Armenia, Yerevan, Tigran Petrosyan Street, 1A","40.224936,44.498847",Դավթաշեն
"ծովակալ իսակովի պողոտա 4/1, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 4/1","40.172826,44.492415",Մալաթիա-Սեբաստիա
"սասունցի դավթի փողոց 70/1, երևան","Armenia, Yerevan, Sasuntsi Davit Street, 70/1","40.153948,44.520622",Էրեբունի
"սիմոն վրացյան փողոց, երևան","Armenia, Yerevan, Simon Vratsyan Street","40.171434,44.52144",Կենտրոն
"կարախանյան փողոց 19, երևան","Armenia, Yerevan, Karakhanyan Street, 19","40.178772,44.562502",Նոր Նորք
"ռաֆայել իսրաելյան փողոց, երևան","Armenia, Yerevan, Rafael Israyelyan Street","40.177318,44.501587",Կենտրոն
"նուբարաշենի 11-րդ փողոց 5, երևան","Armenia, Yerevan, Nubarashen 11th Street, 5","40.083658,44.544814",Նուբարաշեն
"улица агатангехоса, ереван","Armenia, Yerevan, Agatangeghos Street","40.172364,44.511325",Կենտրոն
"երվանդ քոչարի փողոց 15, երևան","Armenia, Yerevan, Yervand Kochar Street, 15","40.169063,44.518152",Կենտրոն
"արամ խաչատրյան փողոց 23, երևան","Armenia, Yerevan, Aram Khachatryan Street, 23","40.207231,44.501937",Արաբկիր
"մամիկոնյանց փողոց 19, երևան","Armenia, Yerevan, Mamikonyants Street, 19","40.20878,44.523353",Արաբկիր
"լյուքսեմբուրգ փողոցի 1-ին նրբանցք, երևան","Armenia, Yerevan, Lyuksemburg Street 1st Lane","40.189217,44.563319",Նոր Նորք
"տիգրան մեծ պողոտայի 1-ին փակուղի, երևան","Armenia, Yerevan, Tigran Mets Avenue 1st Blind Alley","40.159352,44.510022",Էրեբունի
"արաբկիր վարչական շրջան , երևան","Armenia, Yerevan, The Administrative District of Arabkir","40.207286,44.50942",Արաբկիր
"սասնա ծռերի փողոց 3, երևան","Armenia, Yerevan, Sasna Tsrer Street, 3","40.21345,44.488777",Դավթաշեն
"հանրապետության փողոց 62, երևան","Armenia, Yerevan, Hanrapetutyan Street, 62","40.177808,44.519158",Կենտրոն
"բաղյան 1-ին նրբանցք, երևան","Armenia, Yerevan, Baghyan Street 1st Lane","40.193819,44.567595",Նոր Նորք
"թումանյան փողոց 13, երևան","Armenia, Yerevan, Tumanyan Street, 13","40.18066,44.52117",Կենտրոն
"խաղաղ դոնի փողոց 19, երևան","Armenia, Yerevan, Khaghagh Doni Street, 19","40.128095,44.525904",Էրեբունի
"դավթաշենի 4-րդ զանգված, երևան","Armenia, Yerevan, Davtashen 4th Street","40.213002,44.479794",Դավթաշեն
"տիգրան մեծի պողոտա 12, երևան","Armenia, Yerevan, Tigran Mets Avenue, 12","40.173928,44.51349",Կենտրոն
"թբիլիսյան խճուղի 2a, երևան","Armenia, Yerevan, Tbilisyan Highway, 2A","40.225687,44.536307",Քանաքեռ-Զեյթուն
"բրյուսով թաղամաս, երևան","Armenia, Yerevan, The Administrative District of Avan, Bryusov District","40.215309,44.580567",Ավան
"վերին անտառային փողոց 140/3, երևան","Armenia, Yerevan, Verin Antarayin Street, 140/3","40.197656,44.508154",Կենտրոն
"մինաս ավետիսյանի փողոց, երևան","Armenia, Yerevan, Minas Avetiyan Street","40.206487,44.545146",Քանաքեռ-Զեյթուն
"վահրամ արիստակեսյանի փողոց, երևան","Armenia, Yerevan, 1-ya ulitsa","40.222836,44.482794",Դավթաշեն
"ադմիրալ իսակովի պողոտա 50/3, երևան","Armenia, Yerevan, Tsovakal Isakov Avenue, 50/3","40.161323,44.432399",Մալաթիա-Սեբաստիա
"սայաթ-նովայի պողոտա 23, երևան","Armenia, Yerevan, Sayat-Nova Avenue, 23","40.182775,44.520461",Կենտրոն
"ամիրյան փողոց 7, երևան","Armenia, Yerevan, Amiryan Street, 7","40.179399,44.509555",Կենտրոն
"հանրապետության փողոց 58, երևան","Armenia, Yerevan, Hanrapetutyan Street, 58","40.177222,44.517784",Կենտրոն
"արմեն թախտաջյան փողոց 3, երևան","Armenia, Yerevan, Armen Takhtajian Street, 3","40.174631,44.523982",Կենտրոն
"lvovyan street 10, yerevan","Armenia, Yerevan, Lvovyan Street, 10","40.203704,44.563355",Նոր Նորք
"միքայելյան փողոց, երևան","Armenia, Yerevan, Mikaelyan Street","40.172371,44.455971",Մալաթիա-Սեբաստիա
"արամ խաչատրյան փողոց 26/1, երևան","Armenia, Yerevan, Aram Khachatryan Street, 26/1","40.206328,44.502979",Արաբկիր
"մինսկի փողոց 21/23, երևան","Armenia, Yerevan, Minsk Street, 21-23","40.177511,44.576911",Նոր Նորք
"leningradyan street, երևան","Armenia, Yerevan, Kirk Kerkorian Street","40.191236,44.471044",Աջափնյակ
"улица давида анахта, ереван","Armenia, Yerevan, Davit Anhaght Street","40.202168,44.532291",Քանաքեռ-Զեյթուն
"կոմիտասի պողոտա 35, երևան","Armenia, Yerevan, Komitas Avenue, 35","40.206514,44.506905",Արաբկիր
"պարույր սևակի փողոց 51/2, երևան","Armenia, Yerevan, Paruyr Sevak Street, 51/2","40.203408,44.544257",Քանաքեռ-Զեյթուն
"խորեն աբրահամյան փողոց, երևան","Armenia, Yerevan, Khoren Abrahamyan Street","40.180929,44.505944",Կենտրոն
"շիրակի փողոց b2a, երևան","Armenia, Yerevan, Shirak Street, 2A","40.140188,44.469122",Շենգավիթ
"քրիստափորի փողոց 9, երևան","Armenia, Yerevan, Kristapor Street, 9","40.163425,44.514011",Կենտրոն
"վարդանանց փողոց 5a, երևան","Armenia, Yerevan, Vardanants Street, 5A","40.179179,44.518403",Կենտրոն
"կարապետ ուլնեցու փողոց 3-րդ փակուղի, երևան","Armenia, Yerevan, Karapet Ulnetsi Street","40.203869,44.534879",Քանաքեռ-Զեյթուն
"գեներալ նվեր սաֆարյանի փողոց, երևան","Armenia, Yerevan, Nver Safaryan Street","40.211459,44.581294",Ավան
"sundukyan st, yerevan","Armenia, Yerevan, Sundukyan Street","40.199006,44.49926",Արաբկիր
"ազատության պողոտա 3/1, երևան","Armenia, Yerevan, Azatutyan Avenue, 3/1","40.200412,44.519949",Արաբկիր
"azatutyan avenue, երևան","Armenia, Yerevan, Azatutyan Avenue","40.203553,44.523838",Արաբկիր
"տաշքենդի փողոց, երևան","Armenia, Yerevan, Tashkent Street","40.221493,44.571916",Ավան
"երվանդ քոչարի փողոց 5, երևան","Armenia, Yerevan, Yervand Kochar Street, 5","40.171992,44.519454",Կենտրոն
"վարդանանց փողոց 18/2, երևան","Armenia, Yerevan, Vardanants Street, 18/2","40.175417,44.519886",Կենտրոն
"աթոյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Atoyan Street Lane","40.145807,44.520218",Էրեբունի
"քոչարյան փողոց, երևան","Armenia, Yerevan, Kocharyan Street","40.191711,44.564514",Նոր Նորք
"զորավար անդրանիկի փողոց 137, երևան","Armenia, Yerevan, Zoravar Andranik Street, 137","40.165803,44.443735",Մալաթիա-Սեբաստիա
"շահսուվարյան փողոց 8a, երևան","Armenia, Yerevan, Shahsuvaryan Street, 8A","40.207926,44.524081",Արաբկիր
"улица ширванзаде, ереван","Armenia, Yerevan, Shirvanzade Street","40.20878,44.52524",Արաբկիր
"խորենացու փողոց 17, երևան","Armenia, Yerevan, Khorenatsi Street, 17","40.174479,44.510283",Կենտրոն
"ծերենցի փողոց, երևան","Armenia, Yerevan, Tserents Street","40.166899,44.454713",Մալաթիա-Սեբաստիա
"արցախի պողոտա 4, երևան","Armenia, Yerevan, Artsakh Avenue, 4","40.15401,44.509959",Էրեբունի
"հրաչյա աճառյան փողոց, երևան","Armenia, Yerevan, Acharyan Street","40.223249,44.56022",Ավան
"կուրղինյան փողոցի նրբանցք, երևան","Armenia, Yerevan, Kurghinyan Street Lane","40.169876,44.467056",Մալաթիա-Սեբաստիա
"yeznik koghbaci street, երևան","Armenia, Yerevan","40.177642,44.512519",Կենտրոն
"վերին անտառային փողոց 138/3, երևան","Armenia, Yerevan, Verin Antarayin Street, 138/3","40.19725,44.511576",Կենտրոն
"դավթաշենի 2-րդ փողոց 11, երևան","Armenia, Yerevan, Paris Herouni Street, 11","40.213161,44.479731",Դավթաշեն
"նազարբեկյան թաղամաս 15, երևան","Armenia, Yerevan, The Administrative District of Ajapnyak, Nazarbekyan Quarter, 15","40.21292,44.460785",Աջափնյակ
"նոր արեշ 11-րդ փողոց, երևան","Armenia, Yerevan, Nor Aresh 11th Street","40.143877,44.5225",Էրեբունի
"շիրազի փողոց 46, երևան","Armenia, Yerevan, Shiraz Street, 46","40.207272,44.462789",Աջափնյակ
"զորավար անդրանիկի փողոց 10/3, երևան","Armenia, Yerevan, Zoravar Andranik Street, 10/3","40.183878,44.44723",Մալաթիա-Սեբաստիա
"կոմիտասի պողոտա 49/12, երևան","Armenia, Yerevan, Komitas Avenue, 49/12","40.208133,44.518448",Արաբկիր
"սևքարեցի սաքոյի փողոց, երևան","Armenia, Yerevan, Sevkaretsi Sako Street","40.208229,44.497491",Արաբկիր
"չեխովի փողոց 26, երևան","Armenia, Yerevan, Chekhov Street, 26","40.152728,44.479452",Շենգավիթ
